create|grassland|10
update|cells|20.8;20.8;20.8;20.8;20.8;20.8;19.8;19.8;20.8;20.8;20.8;20.8;20.8;20.8;20.8;20.8;20.8;20.8;20.8;20.8;20.8;20.8;20.8;20.8;20.8;20.8;20.8;20.8;20.8;20.8;20.8;20.8;20.8;20.8;20.8;20.8;20.8;20.8;20.8;20.8;20.8;20.8;20.8;20.8;20.8;20.8;20.8;20.8;20.8;20.8;20.8;20.8;20.8;20.8;20.8;20.8;20.8;20.8;20.8;20.8;20.8;20.8;20.8;20.8;20.8;20.8;20.8;20.8;20.8;20.8;20.8;20.8;20.8;20.8;20.8;20.8;20.8;19.8;20.8;20.8;20.8;20.8;19.8;18.8;19.8;20.8;19.8;20.8;19.8;20.8;19.8;19.8;20.8;19.8;20.8;20.8;20.8;19.8;19.8;20.8;
update|animal|1;8;1;81
update|animal|2;8;1;79
update|cells|20.9;20.9;20.9;20.9;20.9;20.9;19.9;19.9;20.9;20.9;20.9;20.9;20.9;20.9;20.9;20.9;20.9;20.9;20.9;20.9;20.9;20.9;20.9;20.9;20.9;20.9;20.9;20.9;20.9;20.9;20.9;20.9;20.9;20.9;20.9;20.9;20.9;20.9;20.9;20.9;20.9;20.9;20.9;20.9;20.9;20.9;20.9;20.9;20.9;20.9;20.9;20.9;20.9;20.9;20.9;20.9;20.9;20.9;20.9;20.9;20.9;20.9;20.9;20.9;20.9;20.9;20.9;20.9;20.9;20.9;20.9;20.9;20.9;20.9;20.9;20.9;20.9;19.9;20.9;19.9;20.9;19.9;19.9;18.9;19.9;20.9;19.9;20.9;19.9;20.9;19.9;19.9;20.9;19.9;20.9;20.9;20.9;19.9;19.9;20.9;
update|animal|1;9;1;92
update|animal|2;9;1;68
update|cells|21;21;21;21;21;21;20;20;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;20;21;21;21;21;21;21;21;21;20;21;20;21;20;20;19;20;21;20;21;20;21;20;20;20;20;21;21;21;20;20;21;
update|animal|1;10;1;83
update|animal|2;10;1;77
update|cells|21.1;21.1;21.1;21.1;21.1;21.1;20.1;20.1;21.1;21.1;21.1;21.1;21.1;21.1;21.1;21.1;21.1;21.1;21.1;21.1;21.1;21.1;21.1;21.1;21.1;21.1;21.1;21.1;21.1;21.1;21.1;21.1;21.1;21.1;21.1;21.1;21.1;21.1;21.1;21.1;21.1;21.1;21.1;21.1;21.1;21.1;21.1;21.1;21.1;21.1;21.1;21.1;21.1;21.1;21.1;21.1;21.1;21.1;21.1;21.1;21.1;21.1;21.1;21.1;21.1;21.1;21.1;21.1;20.1;21.1;21.1;21.1;21.1;21.1;21.1;21.1;21.1;19.1;21.1;20.1;21.1;20.1;20.1;18.1;20.1;21.1;20.1;21.1;20.1;21.1;20.1;20.1;20.1;20.1;21.1;21.1;21.1;20.1;20.1;21.1;
update|animal|1;11;1;94
update|animal|2;11;1;67
update|cells|21.2;21.2;21.2;21.2;21.2;21.2;20.2;20.2;21.2;21.2;21.2;21.2;21.2;21.2;21.2;21.2;21.2;21.2;21.2;21.2;21.2;21.2;21.2;21.2;21.2;21.2;21.2;21.2;21.2;21.2;21.2;21.2;21.2;21.2;21.2;21.2;21.2;21.2;21.2;21.2;21.2;21.2;21.2;21.2;21.2;21.2;21.2;21.2;21.2;21.2;21.2;21.2;21.2;21.2;21.2;21.2;21.2;21.2;21.2;21.2;21.2;21.2;21.2;21.2;21.2;21.2;21.2;20.2;20.2;21.2;21.2;21.2;21.2;21.2;21.2;21.2;21.2;19.2;21.2;20.2;21.2;20.2;20.2;18.2;20.2;21.2;20.2;21.2;20.2;21.2;20.2;20.2;20.2;20.2;20.2;21.2;21.2;20.2;20.2;21.2;
update|animal|1;12;1;95
update|animal|2;12;1;58
update|cells|21.3;21.3;21.3;21.3;21.3;21.3;20.3;20.3;21.3;21.3;21.3;21.3;21.3;21.3;21.3;21.3;21.3;21.3;21.3;21.3;21.3;21.3;21.3;21.3;21.3;21.3;21.3;21.3;21.3;21.3;21.3;21.3;21.3;21.3;21.3;21.3;21.3;21.3;21.3;21.3;21.3;21.3;21.3;21.3;21.3;21.3;21.3;21.3;21.3;21.3;21.3;21.3;21.3;21.3;21.3;21.3;21.3;21.3;20.3;21.3;21.3;21.3;21.3;21.3;21.3;21.3;21.3;20.3;20.3;21.3;21.3;21.3;21.3;21.3;21.3;21.3;21.3;19.3;21.3;20.3;21.3;20.3;20.3;18.3;20.3;21.3;20.3;21.3;20.3;21.3;20.3;20.3;20.3;20.3;20.3;20.3;21.3;20.3;20.3;21.3;
update|animal|1;13;1;5
update|animal|2;13;1;59
update|cells|21.4;21.4;21.4;21.4;21.4;20.4;20.4;20.4;21.4;21.4;21.4;21.4;21.4;21.4;21.4;21.4;21.4;21.4;21.4;21.4;21.4;21.4;21.4;21.4;21.4;21.4;21.4;21.4;21.4;21.4;21.4;21.4;21.4;21.4;21.4;21.4;21.4;21.4;21.4;21.4;21.4;21.4;21.4;21.4;21.4;21.4;21.4;21.4;21.4;21.4;21.4;21.4;21.4;21.4;21.4;21.4;21.4;21.4;20.4;20.4;21.4;21.4;21.4;21.4;21.4;21.4;21.4;20.4;20.4;21.4;21.4;21.4;21.4;21.4;21.4;21.4;21.4;19.4;21.4;20.4;21.4;20.4;20.4;18.4;20.4;21.4;20.4;21.4;20.4;21.4;20.4;20.4;20.4;20.4;20.4;20.4;21.4;20.4;20.4;21.4;
update|animal|1;14;1;95
update|animal|2;14;1;40
update|cells|21.5;21.5;21.5;21.5;21.5;20.5;20.5;20.5;21.5;21.5;21.5;21.5;21.5;21.5;21.5;21.5;21.5;21.5;21.5;21.5;21.5;21.5;21.5;21.5;21.5;21.5;21.5;21.5;21.5;21.5;21.5;21.5;21.5;21.5;21.5;21.5;21.5;21.5;21.5;21.5;20.5;21.5;21.5;21.5;21.5;21.5;21.5;21.5;21.5;21.5;21.5;21.5;21.5;21.5;21.5;21.5;21.5;21.5;20.5;20.5;21.5;21.5;21.5;21.5;21.5;21.5;21.5;20.5;20.5;21.5;21.5;21.5;21.5;21.5;21.5;21.5;21.5;19.5;21.5;20.5;21.5;20.5;20.5;18.5;20.5;21.5;20.5;21.5;20.5;21.5;20.5;20.5;20.5;20.5;20.5;19.5;21.5;20.5;20.5;21.5;
create|animal|3;0;1;85
update|animal|1;15;1;85
create|animal|4;0;1;59
update|animal|2;15;1;59
update|cells|21.6;21.6;21.6;21.6;21.6;20.6;20.6;20.6;21.6;21.6;21.6;21.6;21.6;21.6;21.6;21.6;21.6;21.6;21.6;21.6;21.6;21.6;21.6;21.6;21.6;21.6;21.6;21.6;21.6;21.6;21.6;21.6;21.6;21.6;21.6;21.6;21.6;21.6;21.6;21.6;20.6;21.6;21.6;21.6;21.6;21.6;21.6;21.6;21.6;21.6;21.6;21.6;21.6;21.6;21.6;21.6;21.6;21.6;20.6;19.6;21.6;21.6;21.6;21.6;21.6;21.6;21.6;20.6;20.6;21.6;21.6;21.6;21.6;21.6;21.6;21.6;21.6;19.6;21.6;20.6;21.6;20.6;20.6;18.6;20.6;20.6;20.6;21.6;20.6;21.6;20.6;20.6;20.6;20.6;20.6;19.6;21.6;20.6;20.6;21.6;
update|animal|3;1;1;96
update|animal|1;16;1;75
update|animal|4;1;1;49
update|animal|2;16;1;49
update|cells|21.7;21.7;21.7;21.7;21.7;20.7;20.7;20.7;21.7;21.7;21.7;21.7;21.7;21.7;21.7;21.7;21.7;21.7;21.7;21.7;21.7;21.7;21.7;21.7;21.7;21.7;21.7;21.7;21.7;21.7;21.7;21.7;21.7;21.7;21.7;21.7;21.7;21.7;21.7;21.7;20.7;21.7;21.7;21.7;21.7;21.7;21.7;21.7;21.7;19.7;21.7;21.7;21.7;21.7;21.7;21.7;21.7;21.7;20.7;19.7;21.7;21.7;21.7;21.7;21.7;21.7;21.7;20.7;20.7;21.7;21.7;21.7;21.7;21.7;21.7;20.7;21.7;19.7;21.7;20.7;21.7;20.7;20.7;18.7;20.7;20.7;20.7;21.7;20.7;21.7;20.7;20.7;20.7;20.7;20.7;19.7;20.7;20.7;20.7;21.7;
update|animal|3;2;1;7
update|animal|1;17;1;65
update|animal|4;2;1;50
update|animal|2;17;1;40
update|cells|21.8;21.8;21.8;21.8;21.8;20.8;20.8;19.8;21.8;21.8;21.8;21.8;21.8;21.8;21.8;21.8;21.8;21.8;21.8;21.8;21.8;21.8;21.8;21.8;21.8;21.8;21.8;21.8;21.8;21.8;21.8;21.8;21.8;21.8;21.8;21.8;21.8;21.8;21.8;21.8;19.8;21.8;21.8;21.8;21.8;21.8;21.8;21.8;21.8;19.8;20.8;21.8;21.8;21.8;21.8;21.8;21.8;21.8;20.8;19.8;21.8;21.8;21.8;21.8;21.8;20.8;21.8;20.8;20.8;21.8;21.8;21.8;21.8;21.8;21.8;20.8;21.8;19.8;21.8;20.8;21.8;20.8;20.8;18.8;20.8;20.8;20.8;21.8;20.8;21.8;20.8;20.8;20.8;20.8;20.8;19.8;20.8;20.8;20.8;21.8;
update|animal|3;3;1;17
update|animal|1;18;1;54
update|animal|4;3;1;41
update|animal|2;18;1;39
update|cells|21.9;21.9;21.9;21.9;21.9;20.9;20.9;19.9;21.9;21.9;21.9;21.9;21.9;21.9;21.9;21.9;21.9;20.9;21.9;21.9;21.9;21.9;21.9;21.9;21.9;21.9;21.9;21.9;21.9;21.9;21.9;21.9;21.9;21.9;21.9;21.9;21.9;21.9;21.9;20.9;19.9;20.9;21.9;21.9;21.9;21.9;21.9;21.9;21.9;19.9;20.9;21.9;21.9;21.9;20.9;21.9;21.9;21.9;20.9;19.9;21.9;21.9;21.9;21.9;21.9;20.9;21.9;20.9;20.9;21.9;21.9;21.9;21.9;21.9;21.9;20.9;21.9;19.9;21.9;20.9;21.9;20.9;20.9;18.9;20.9;20.9;20.9;21.9;20.9;21.9;20.9;20.9;20.9;20.9;20.9;19.9;20.9;20.9;20.9;21.9;
update|animal|3;4;1;16
update|animal|1;19;1;65
update|animal|4;4;1;42
update|animal|2;19;1;28
