create|grassland|10
update|cells|21.3;23.3;23.3;23.3;23.3;22.3;22.3;18.3;19.3;20.3;22.3;23.3;23.3;23.3;23.3;22.3;21.3;19.3;21.3;21.3;23.3;22.3;20.3;22.3;22.3;21.3;21.3;22.3;21.3;23.3;23.3;22.3;22.3;20.3;19.3;21.3;21.3;22.3;22.3;22.3;21.3;20.3;22.3;23.3;22.3;22.3;22.3;23.3;23.3;20.3;21.3;22.3;23.3;23.3;22.3;23.3;22.3;23.3;22.3;21.3;23.3;23.3;23.3;23.3;23.3;21.3;23.3;22.3;22.3;23.3;23.3;23.3;23.3;23.3;23.3;22.3;23.3;21.3;23.3;22.3;23.3;22.3;22.3;20.3;22.3;22.3;22.3;23.3;22.3;23.3;22.3;22.3;22.3;22.3;22.3;21.3;22.3;22.3;21.3;22.3;
update|animal|5;3;1;25
update|animal|3;18;1;56
update|animal|6;3;1;32
update|animal|1;33;1;21
update|animal|7;3;1;24
update|animal|4;18;1;8
update|animal|8;3;1;7
update|animal|2;33;1;17
update|cells|21.4;23.4;23.4;23.4;23.4;22.4;22.4;17.4;18.4;20.4;22.4;23.4;23.4;23.4;23.4;22.4;21.4;18.4;21.4;21.4;23.4;21.4;20.4;22.4;21.4;20.4;21.4;22.4;21.4;23.4;23.4;22.4;21.4;20.4;19.4;21.4;21.4;22.4;22.4;22.4;21.4;20.4;22.4;23.4;22.4;22.4;22.4;23.4;23.4;20.4;21.4;22.4;23.4;23.4;22.4;23.4;21.4;23.4;22.4;21.4;23.4;23.4;23.4;23.4;23.4;21.4;23.4;22.4;22.4;23.4;23.4;23.4;23.4;23.4;23.4;22.4;23.4;21.4;23.4;22.4;23.4;22.4;22.4;20.4;22.4;22.4;22.4;23.4;22.4;23.4;22.4;22.4;22.4;22.4;22.4;21.4;22.4;22.4;21.4;22.4;
update|animal|5;4;1;16
update|animal|3;19;1;45
update|animal|6;4;1;31
update|animal|1;34;1;22
update|animal|7;4;1;23
update|animal|4;19;1;9
update|animal|8;4;1;18
update|animal|2;34;1;6
update|cells|21.5;23.5;23.5;23.5;23.5;22.5;21.5;17.5;18.5;19.5;22.5;23.5;23.5;23.5;23.5;22.5;20.5;18.5;20.5;21.5;23.5;21.5;19.5;21.5;21.5;20.5;21.5;22.5;21.5;23.5;23.5;21.5;21.5;20.5;19.5;21.5;21.5;22.5;22.5;22.5;21.5;20.5;22.5;23.5;22.5;21.5;22.5;23.5;23.5;20.5;21.5;22.5;23.5;23.5;22.5;23.5;21.5;23.5;22.5;21.5;23.5;23.5;23.5;23.5;23.5;21.5;23.5;22.5;22.5;23.5;23.5;23.5;23.5;23.5;23.5;22.5;23.5;21.5;23.5;22.5;23.5;22.5;22.5;20.5;22.5;22.5;22.5;23.5;22.5;23.5;22.5;22.5;22.5;22.5;22.5;21.5;22.5;22.5;21.5;22.5;
update|animal|5;5;1;26
update|animal|3;20;1;36
update|animal|6;5;1;21
update|animal|1;35;1;13
update|animal|7;5;1;13
update|animal|4;20;1;98
update|animal|8;5;1;9
update|animal|2;35;1;96
update|cells|21.6;23.6;23.6;23.6;23.6;22.6;21.6;17.6;18.6;18.6;22.6;23.6;23.6;21.6;23.6;22.6;20.6;18.6;20.6;21.6;23.6;20.6;19.6;21.6;21.6;20.6;20.6;22.6;21.6;23.6;23.6;21.6;21.6;20.6;19.6;21.6;20.6;22.6;22.6;22.6;21.6;20.6;22.6;23.6;22.6;21.6;22.6;23.6;23.6;20.6;21.6;22.6;23.6;23.6;22.6;23.6;21.6;23.6;22.6;21.6;23.6;23.6;23.6;23.6;23.6;21.6;23.6;22.6;22.6;23.6;23.6;23.6;23.6;23.6;23.6;22.6;23.6;21.6;23.6;22.6;23.6;22.6;22.6;20.6;22.6;22.6;22.6;23.6;22.6;23.6;22.6;22.6;22.6;22.6;22.6;21.6;21.6;22.6;20.6;22.6;
update|animal|5;6;1;15
update|animal|3;21;1;27
update|animal|6;6;1;30
update|animal|1;36;1;2
update|animal|7;6;1;14
update|animal|4;21;1;97
update|animal|8;6;1;19
update|animal|2;36;1;7
update|cells|21.7;23.7;22.7;23.7;23.7;22.7;21.7;16.7;18.7;18.7;22.7;23.7;23.7;21.7;22.7;21.7;20.7;18.7;20.7;20.7;23.7;20.7;19.7;21.7;21.7;20.7;20.7;21.7;21.7;23.7;22.7;21.7;21.7;20.7;19.7;21.7;20.7;22.7;22.7;22.7;21.7;20.7;22.7;23.7;22.7;21.7;22.7;23.7;23.7;20.7;21.7;22.7;23.7;23.7;22.7;23.7;21.7;23.7;22.7;21.7;23.7;23.7;23.7;23.7;23.7;21.7;23.7;22.7;22.7;23.7;23.7;23.7;23.7;23.7;23.7;22.7;23.7;21.7;23.7;22.7;23.7;22.7;22.7;20.7;22.7;22.7;22.7;23.7;22.7;23.7;22.7;22.7;22.7;22.7;22.7;21.7;21.7;21.7;20.7;22.7;
update|animal|5;7;1;14
update|animal|3;22;1;18
update|animal|6;7;1;40
delete|animal|1;37;0.9;2
update|animal|7;7;1;25
update|animal|4;22;1;96
update|animal|8;7;1;20
update|animal|2;37;1;16
update|cells|21.8;23.8;22.8;23.8;23.8;22.8;21.8;16.8;18.8;18.8;22.8;23.8;23.8;21.8;21.8;21.8;19.8;18.8;19.8;20.8;22.8;20.8;19.8;21.8;21.8;19.8;20.8;21.8;21.8;23.8;22.8;21.8;21.8;20.8;19.8;21.8;20.8;22.8;22.8;22.8;20.8;20.8;22.8;23.8;22.8;21.8;22.8;23.8;23.8;20.8;21.8;22.8;23.8;23.8;22.8;23.8;21.8;23.8;22.8;21.8;23.8;23.8;23.8;23.8;23.8;21.8;23.8;22.8;22.8;23.8;23.8;23.8;23.8;23.8;23.8;22.8;23.8;21.8;23.8;22.8;23.8;22.8;22.8;20.8;22.8;22.8;22.8;23.8;22.8;23.8;22.8;22.8;22.8;22.8;22.8;21.8;20.8;21.8;20.8;22.8;
update|animal|5;8;1;24
update|animal|3;23;1;28
update|animal|6;8;1;41
update|animal|7;8;1;16
update|animal|4;23;1;85
update|animal|8;8;1;19
update|animal|2;38;1;25
update|cells|21.9;23.9;22.9;23.9;23.9;22.9;21.9;16.9;18.9;18.9;22.9;23.9;23.9;21.9;21.9;21.9;18.9;18.9;19.9;19.9;22.9;20.9;19.9;21.9;20.9;18.9;20.9;21.9;20.9;23.9;22.9;21.9;21.9;20.9;19.9;21.9;20.9;22.9;22.9;22.9;20.9;19.9;22.9;23.9;22.9;21.9;22.9;23.9;23.9;20.9;21.9;22.9;23.9;23.9;22.9;23.9;21.9;23.9;22.9;21.9;23.9;23.9;23.9;23.9;23.9;21.9;23.9;22.9;22.9;23.9;23.9;23.9;23.9;23.9;23.9;22.9;23.9;21.9;23.9;22.9;23.9;22.9;22.9;20.9;22.9;21.9;22.9;23.9;22.9;23.9;22.9;22.9;22.9;22.9;22.9;21.9;20.9;21.9;20.9;22.9;
update|animal|5;9;1;23
update|animal|3;24;1;39
update|animal|6;9;1;42
update|animal|7;9;1;15
update|animal|4;24;1;74
update|animal|8;9;1;29
update|animal|2;39;1;35
update|cells|22;24;23;24;24;23;22;17;19;19;23;24;24;22;22;21;19;19;20;20;23;21;20;21;21;19;21;22;21;23;23;22;22;21;20;21;21;23;23;22;21;20;22;24;23;22;23;24;24;21;22;23;24;24;23;24;22;24;23;22;24;24;24;24;24;22;24;23;23;24;24;24;24;24;23;23;24;22;24;23;24;23;23;21;23;22;23;24;23;24;23;23;23;23;23;22;21;22;21;23;
update|animal|5;10;1;13
update|animal|3;25;1;29
update|animal|6;10;1;41
update|animal|7;10;1;5
update|animal|4;25;1;73
update|animal|8;10;1;20
update|animal|2;40;1;25
update|cells|22.1;24.1;23.1;24.1;24.1;22.1;22.1;17.1;19.1;19.1;23.1;24.1;24.1;21.1;22.1;21.1;19.1;19.1;20.1;20.1;22.1;21.1;20.1;21.1;21.1;18.1;21.1;22.1;21.1;22.1;23.1;22.1;22.1;21.1;20.1;21.1;21.1;23.1;23.1;22.1;21.1;19.1;22.1;24.1;23.1;22.1;23.1;24.1;24.1;21.1;22.1;23.1;24.1;24.1;23.1;24.1;22.1;24.1;23.1;22.1;24.1;24.1;24.1;24.1;24.1;22.1;24.1;23.1;23.1;24.1;24.1;24.1;24.1;23.1;23.1;23.1;24.1;22.1;24.1;23.1;24.1;23.1;23.1;21.1;23.1;22.1;23.1;24.1;23.1;24.1;23.1;23.1;23.1;23.1;23.1;22.1;21.1;22.1;21.1;23.1;
update|animal|5;11;1;24
update|animal|3;26;1;18
update|animal|6;11;1;30
update|animal|7;11;1;15
update|animal|4;26;1;74
update|animal|8;11;1;30
delete|animal|2;41;0.9;25
update|cells|22.2;24.2;23.2;24.2;24.2;22.2;22.2;17.2;19.2;19.2;23.2;24.2;24.2;21.2;22.2;20.2;19.2;19.2;19.2;20.2;22.2;21.2;20.2;21.2;20.2;18.2;21.2;22.2;21.2;22.2;21.2;22.2;22.2;21.2;20.2;21.2;21.2;23.2;23.2;22.2;21.2;19.2;22.2;24.2;23.2;22.2;23.2;24.2;24.2;21.2;22.2;23.2;24.2;24.2;23.2;24.2;22.2;24.2;23.2;22.2;24.2;24.2;24.2;24.2;24.2;22.2;24.2;23.2;23.2;24.2;24.2;24.2;24.2;23.2;22.2;23.2;24.2;22.2;24.2;23.2;24.2;23.2;23.2;21.2;23.2;22.2;23.2;24.2;23.2;24.2;23.2;23.2;23.2;23.2;23.2;22.2;21.2;22.2;21.2;23.2;
update|animal|5;12;1;25
update|animal|3;27;1;9
update|animal|6;12;1;20
update|animal|7;12;1;14
update|animal|4;27;1;65
update|animal|8;12;1;20
update|cells|22.3;24.3;23.3;24.3;24.3;22.3;22.3;17.3;19.3;18.3;23.3;24.3;24.3;21.3;21.3;20.3;19.3;19.3;19.3;20.3;20.3;21.3;20.3;21.3;20.3;17.3;21.3;22.3;21.3;22.3;21.3;22.3;22.3;21.3;20.3;21.3;21.3;23.3;23.3;22.3;21.3;19.3;22.3;24.3;23.3;22.3;23.3;24.3;24.3;21.3;22.3;23.3;24.3;24.3;23.3;24.3;22.3;24.3;23.3;22.3;24.3;24.3;24.3;24.3;24.3;21.3;24.3;23.3;23.3;24.3;24.3;24.3;24.3;23.3;22.3;23.3;24.3;22.3;24.3;23.3;24.3;23.3;23.3;21.3;23.3;22.3;23.3;24.3;23.3;24.3;23.3;23.3;23.3;23.3;23.3;22.3;21.3;22.3;21.3;23.3;
update|animal|5;13;1;35
update|animal|3;28;1;19
update|animal|6;13;1;39
update|animal|7;13;1;3
update|animal|4;28;1;64
update|animal|8;13;1;21
update|cells|22.4;24.4;23.4;23.4;24.4;22.4;22.4;17.4;19.4;18.4;23.4;24.4;24.4;21.4;21.4;20.4;19.4;19.4;19.4;19.4;20.4;20.4;20.4;21.4;20.4;17.4;21.4;22.4;21.4;22.4;21.4;22.4;22.4;21.4;20.4;20.4;21.4;23.4;23.4;21.4;21.4;19.4;22.4;24.4;23.4;22.4;23.4;24.4;24.4;21.4;22.4;23.4;24.4;24.4;23.4;24.4;22.4;24.4;23.4;22.4;24.4;24.4;24.4;24.4;23.4;21.4;24.4;23.4;23.4;24.4;24.4;24.4;24.4;23.4;22.4;23.4;24.4;22.4;24.4;23.4;24.4;23.4;23.4;21.4;23.4;22.4;23.4;24.4;23.4;24.4;23.4;23.4;23.4;23.4;23.4;22.4;21.4;22.4;21.4;23.4;
update|animal|5;14;1;25
update|animal|3;29;1;8
update|animal|6;14;1;40
update|animal|7;14;1;13
update|animal|4;29;1;65
update|animal|8;14;1;30
update|cells|22.5;24.5;23.5;23.5;24.5;22.5;22.5;17.5;18.5;18.5;23.5;24.5;24.5;20.5;21.5;20.5;19.5;19.5;19.5;19.5;20.5;20.5;20.5;21.5;20.5;16.5;21.5;22.5;21.5;22.5;20.5;22.5;22.5;21.5;20.5;20.5;21.5;23.5;23.5;21.5;20.5;19.5;22.5;24.5;23.5;22.5;23.5;24.5;24.5;21.5;22.5;23.5;24.5;24.5;23.5;24.5;22.5;24.5;23.5;22.5;24.5;24.5;24.5;24.5;23.5;20.5;24.5;23.5;23.5;24.5;24.5;24.5;24.5;23.5;22.5;23.5;24.5;22.5;24.5;23.5;24.5;23.5;23.5;21.5;23.5;22.5;23.5;24.5;23.5;24.5;23.5;23.5;23.5;23.5;23.5;22.5;21.5;22.5;21.5;23.5;
create|animal|9;0;1;36
update|animal|5;15;1;36
create|animal|10;0;1;17
update|animal|3;30;1;17
create|animal|11;0;1;31
update|animal|6;15;1;31
create|animal|12;0;1;12
update|animal|7;15;1;12
create|animal|13;0;1;56
update|animal|4;30;1;56
create|animal|14;0;1;21
update|animal|8;15;1;21
update|cells|22.6;24.6;23.6;23.6;24.6;22.6;22.6;17.6;18.6;18.6;23.6;24.6;23.6;20.6;21.6;20.6;19.6;18.6;19.6;19.6;20.6;19.6;20.6;21.6;20.6;16.6;21.6;22.6;21.6;22.6;20.6;21.6;22.6;21.6;20.6;20.6;20.6;23.6;23.6;21.6;20.6;19.6;22.6;24.6;23.6;22.6;23.6;24.6;24.6;21.6;22.6;23.6;24.6;24.6;23.6;24.6;21.6;24.6;23.6;22.6;24.6;24.6;24.6;24.6;23.6;20.6;24.6;23.6;23.6;24.6;24.6;24.6;24.6;23.6;22.6;23.6;24.6;22.6;24.6;23.6;24.6;23.6;23.6;21.6;23.6;22.6;23.6;24.6;23.6;24.6;23.6;23.6;23.6;23.6;23.6;22.6;21.6;22.6;21.6;23.6;
update|animal|9;1;1;45
update|animal|5;16;1;37
update|animal|10;1;1;26
update|animal|3;31;1;18
update|animal|11;1;1;22
update|animal|6;16;1;20
update|animal|12;1;1;1
update|animal|7;16;1;21
update|animal|13;1;1;45
update|animal|4;31;1;47
update|animal|14;1;1;12
update|animal|8;16;1;11
update|cells|22.7;23.7;23.7;23.7;24.7;22.7;22.7;17.7;18.7;18.7;23.7;23.7;22.7;20.7;21.7;20.7;19.7;18.7;18.7;19.7;19.7;18.7;19.7;21.7;20.7;16.7;20.7;22.7;21.7;22.7;20.7;21.7;22.7;21.7;20.7;20.7;20.7;22.7;23.7;21.7;20.7;19.7;22.7;24.7;23.7;20.7;23.7;23.7;24.7;21.7;22.7;23.7;24.7;24.7;23.7;24.7;21.7;24.7;23.7;22.7;24.7;24.7;24.7;24.7;23.7;20.7;24.7;23.7;23.7;24.7;24.7;24.7;24.7;23.7;22.7;23.7;24.7;22.7;24.7;23.7;24.7;23.7;23.7;21.7;23.7;22.7;23.7;24.7;23.7;24.7;23.7;23.7;23.7;23.7;23.7;22.7;21.7;22.7;21.7;23.7;
update|animal|9;2;1;55
update|animal|5;17;1;46
update|animal|10;2;1;36
update|animal|3;32;1;8
update|animal|11;2;1;12
update|animal|6;17;1;21
update|animal|12;2;1;10
update|animal|7;17;1;22
update|animal|13;2;1;46
update|animal|4;32;1;37
update|animal|14;2;1;13
update|animal|8;17;1;1
update|cells|22.8;22.8;23.8;23.8;24.8;22.8;22.8;17.8;17.8;18.8;22.8;23.8;21.8;19.8;21.8;20.8;19.8;18.8;18.8;19.8;19.8;17.8;18.8;21.8;20.8;16.8;20.8;22.8;21.8;22.8;20.8;21.8;22.8;21.8;20.8;20.8;19.8;21.8;23.8;21.8;20.8;19.8;22.8;24.8;23.8;20.8;21.8;23.8;24.8;21.8;22.8;23.8;24.8;24.8;23.8;23.8;21.8;24.8;23.8;22.8;24.8;24.8;24.8;24.8;23.8;20.8;24.8;23.8;23.8;24.8;24.8;24.8;24.8;23.8;22.8;23.8;24.8;22.8;24.8;23.8;24.8;23.8;23.8;21.8;23.8;22.8;23.8;24.8;23.8;24.8;23.8;23.8;23.8;23.8;23.8;22.8;21.8;22.8;21.8;23.8;
update|animal|9;3;1;44
update|animal|5;18;1;45
update|animal|10;3;1;37
update|animal|3;33;1;18
update|animal|11;3;1;2
update|animal|6;18;1;20
update|animal|12;3;1;1
update|animal|7;18;1;21
update|animal|13;3;1;36
update|animal|4;33;1;28
update|animal|14;3;1;24
update|animal|8;18;1;11
update|cells|22.9;21.9;22.9;23.9;24.9;22.9;22.9;17.9;17.9;18.9;22.9;22.9;21.9;19.9;21.9;20.9;19.9;18.9;17.9;19.9;18.9;16.9;18.9;21.9;19.9;16.9;20.9;22.9;20.9;22.9;20.9;21.9;22.9;21.9;20.9;20.9;18.9;20.9;23.9;21.9;20.9;19.9;22.9;24.9;22.9;19.9;21.9;23.9;24.9;21.9;22.9;23.9;24.9;24.9;23.9;23.9;21.9;24.9;23.9;22.9;24.9;24.9;24.9;24.9;23.9;20.9;24.9;23.9;23.9;24.9;24.9;24.9;24.9;23.9;22.9;23.9;24.9;22.9;24.9;23.9;24.9;23.9;23.9;21.9;23.9;22.9;23.9;24.9;23.9;24.9;23.9;23.9;23.9;23.9;23.9;22.9;21.9;22.9;21.9;23.9;
update|animal|9;4;1;45
update|animal|5;19;1;56
update|animal|10;4;1;46
update|animal|3;34;1;19
update|animal|11;4;1;11
update|animal|6;19;1;31
update|animal|12;4;1;2
update|animal|7;19;1;20
update|animal|13;4;1;26
update|animal|4;34;1;29
update|animal|14;4;1;23
update|animal|8;19;1;0
update|cells|22;22;22;24;25;23;23;18;18;19;23;22;22;20;22;21;20;19;18;19;18;17;19;21;20;17;20;23;21;22;21;21;23;22;21;21;19;21;24;22;21;20;23;25;23;19;21;24;25;22;23;24;25;25;24;24;21;25;24;23;25;25;25;25;24;21;25;24;24;25;25;25;25;24;23;24;25;23;25;24;25;24;24;22;24;23;24;25;24;25;24;24;24;24;24;23;22;23;22;24;
update|animal|9;5;1;55
update|animal|5;20;1;57
update|animal|10;5;1;36
update|animal|3;35;1;8
update|animal|11;5;1;2
update|animal|6;20;1;40
update|animal|12;5;1;92
update|animal|7;20;1;39
update|animal|13;5;1;16
update|animal|4;35;1;30
update|animal|14;5;1;14
update|animal|8;20;1;91
update|cells|22.1;22.1;21.1;24.1;25.1;23.1;23.1;18.1;17.1;19.1;23.1;22.1;22.1;20.1;21.1;21.1;19.1;19.1;18.1;19.1;18.1;17.1;19.1;21.1;20.1;17.1;20.1;23.1;21.1;22.1;20.1;21.1;23.1;22.1;21.1;21.1;18.1;21.1;24.1;21.1;20.1;20.1;23.1;25.1;23.1;19.1;21.1;24.1;25.1;22.1;23.1;24.1;25.1;25.1;24.1;23.1;21.1;24.1;24.1;23.1;25.1;25.1;25.1;25.1;24.1;21.1;25.1;24.1;24.1;25.1;25.1;25.1;25.1;24.1;23.1;24.1;25.1;23.1;25.1;24.1;25.1;24.1;24.1;22.1;24.1;23.1;24.1;25.1;24.1;25.1;24.1;23.1;23.1;24.1;24.1;23.1;22.1;23.1;22.1;24.1;
update|animal|9;6;1;45
update|animal|5;21;1;46
update|animal|10;6;1;46
update|animal|3;36;1;99
update|animal|11;6;1;93
update|animal|6;21;1;31
update|animal|12;6;1;81
update|animal|7;21;1;29
update|animal|13;6;1;7
update|animal|4;36;1;21
update|animal|14;6;1;3
update|animal|8;21;1;81
update|cells|22.2;22.2;21.2;23.2;25.2;23.2;23.2;17.2;17.2;19.2;23.2;22.2;22.2;20.2;21.2;21.2;19.2;19.2;18.2;19.2;18.2;16.2;19.2;21.2;20.2;17.2;20.2;23.2;21.2;21.2;20.2;20.2;23.2;22.2;21.2;21.2;18.2;21.2;24.2;21.2;20.2;20.2;23.2;25.2;23.2;18.2;19.2;24.2;25.2;22.2;23.2;24.2;25.2;25.2;24.2;23.2;21.2;24.2;24.2;23.2;25.2;25.2;25.2;25.2;24.2;21.2;25.2;24.2;24.2;25.2;25.2;25.2;25.2;24.2;23.2;24.2;25.2;23.2;25.2;24.2;25.2;22.2;24.2;22.2;24.2;23.2;24.2;25.2;24.2;25.2;24.2;23.2;23.2;23.2;24.2;23.2;22.2;23.2;22.2;23.2;
update|animal|9;7;1;44
update|animal|5;22;1;56
update|animal|10;7;1;45
update|animal|3;37;1;80
update|animal|11;7;1;4
update|animal|6;22;1;21
update|animal|12;7;1;72
update|animal|7;22;1;19
update|animal|13;7;1;97
update|animal|4;37;1;10
update|animal|14;7;1;13
update|animal|8;22;1;82
update|cells|22.3;22.3;21.3;23.3;24.3;23.3;23.3;17.3;17.3;19.3;22.3;22.3;22.3;19.3;21.3;21.3;19.3;19.3;18.3;18.3;18.3;15.3;19.3;21.3;20.3;17.3;20.3;23.3;21.3;21.3;20.3;20.3;23.3;22.3;21.3;21.3;18.3;21.3;24.3;21.3;20.3;20.3;23.3;25.3;22.3;17.3;19.3;24.3;25.3;22.3;23.3;24.3;25.3;25.3;24.3;23.3;20.3;24.3;24.3;23.3;25.3;25.3;25.3;25.3;24.3;21.3;25.3;24.3;24.3;25.3;25.3;25.3;24.3;24.3;23.3;24.3;25.3;23.3;25.3;24.3;24.3;22.3;23.3;22.3;24.3;23.3;24.3;25.3;24.3;25.3;24.3;23.3;23.3;23.3;24.3;23.3;22.3;22.3;22.3;23.3;
update|animal|9;8;1;34
update|animal|5;23;1;57
update|animal|10;8;1;54
update|animal|3;38;1;89
update|animal|11;8;1;14
update|animal|6;23;1;32
update|animal|12;8;1;63
update|animal|7;23;1;28
update|animal|13;8;1;96
update|animal|4;38;1;20
update|animal|14;8;1;4
update|animal|8;23;1;72
update|cells|22.4;22.4;21.4;23.4;23.4;23.4;23.4;17.4;17.4;19.4;22.4;22.4;22.4;19.4;20.4;21.4;19.4;19.4;18.4;18.4;17.4;15.4;19.4;21.4;20.4;17.4;20.4;23.4;20.4;21.4;20.4;20.4;22.4;22.4;20.4;21.4;18.4;21.4;24.4;21.4;20.4;20.4;23.4;25.4;22.4;17.4;19.4;24.4;25.4;22.4;23.4;24.4;25.4;25.4;23.4;23.4;20.4;23.4;24.4;23.4;25.4;25.4;25.4;24.4;24.4;21.4;25.4;24.4;24.4;25.4;25.4;25.4;23.4;24.4;23.4;24.4;25.4;23.4;25.4;24.4;24.4;22.4;23.4;22.4;24.4;23.4;24.4;25.4;24.4;24.4;24.4;23.4;23.4;23.4;24.4;23.4;21.4;22.4;22.4;23.4;
update|animal|9;9;1;33
update|animal|5;24;1;67
update|animal|10;9;1;55
update|animal|3;39;1;79
update|animal|11;9;1;4
update|animal|6;24;1;42
update|animal|12;9;1;62
update|animal|7;24;1;39
update|animal|13;9;1;95
delete|animal|4;39;0.9;20
update|animal|14;9;1;13
update|animal|8;24;1;83
update|cells|22.5;22.5;21.5;23.5;22.5;23.5;23.5;17.5;17.5;19.5;22.5;22.5;22.5;18.5;20.5;21.5;19.5;19.5;18.5;18.5;17.5;15.5;19.5;21.5;20.5;17.5;20.5;23.5;20.5;21.5;20.5;20.5;22.5;21.5;20.5;21.5;18.5;21.5;24.5;20.5;20.5;20.5;22.5;25.5;22.5;17.5;19.5;24.5;25.5;22.5;23.5;24.5;25.5;25.5;23.5;22.5;20.5;23.5;24.5;23.5;25.5;25.5;24.5;24.5;24.5;21.5;25.5;23.5;24.5;25.5;25.5;25.5;23.5;24.5;23.5;24.5;25.5;23.5;25.5;23.5;24.5;22.5;23.5;21.5;24.5;23.5;24.5;25.5;24.5;24.5;24.5;23.5;23.5;23.5;24.5;22.5;21.5;22.5;22.5;23.5;
update|animal|9;10;1;24
update|animal|5;25;1;68
update|animal|10;10;1;45
update|animal|3;40;1;69
update|animal|11;10;1;14
update|animal|6;25;1;41
update|animal|12;10;1;73
update|animal|7;25;1;29
update|animal|13;10;1;5
update|animal|14;10;1;4
update|animal|8;25;1;73
update|cells|22.6;22.6;21.6;23.6;21.6;22.6;23.6;17.6;17.6;19.6;22.6;22.6;22.6;18.6;19.6;21.6;19.6;19.6;18.6;18.6;17.6;15.6;19.6;21.6;19.6;17.6;20.6;23.6;20.6;20.6;20.6;20.6;22.6;21.6;20.6;21.6;18.6;21.6;24.6;20.6;20.6;19.6;22.6;25.6;22.6;16.6;19.6;24.6;25.6;22.6;23.6;24.6;25.6;25.6;23.6;22.6;20.6;23.6;24.6;23.6;25.6;25.6;24.6;24.6;24.6;21.6;25.6;23.6;23.6;24.6;25.6;25.6;23.6;22.6;23.6;24.6;25.6;23.6;25.6;23.6;24.6;22.6;23.6;21.6;24.6;23.6;24.6;25.6;24.6;24.6;24.6;23.6;23.6;23.6;24.6;22.6;21.6;22.6;22.6;23.6;
update|animal|9;11;1;25
update|animal|5;26;1;79
update|animal|10;11;1;46
delete|animal|3;41;0.9;69
update|animal|11;11;1;15
update|animal|6;26;1;50
update|animal|12;11;1;83
update|animal|7;26;1;28
update|animal|13;11;1;14
update|animal|14;11;1;93
update|animal|8;26;1;72
update|cells|22.7;22.7;21.7;23.7;21.7;22.7;23.7;17.7;17.7;19.7;22.7;22.7;22.7;18.7;18.7;20.7;19.7;19.7;18.7;18.7;17.7;15.7;19.7;21.7;19.7;16.7;20.7;23.7;19.7;20.7;20.7;20.7;22.7;21.7;20.7;21.7;18.7;21.7;24.7;20.7;20.7;19.7;22.7;25.7;22.7;16.7;18.7;24.7;25.7;22.7;22.7;24.7;25.7;25.7;23.7;22.7;20.7;23.7;24.7;23.7;25.7;25.7;24.7;24.7;24.7;21.7;25.7;23.7;23.7;24.7;25.7;25.7;22.7;22.7;23.7;24.7;25.7;23.7;25.7;22.7;24.7;22.7;23.7;20.7;24.7;23.7;24.7;25.7;24.7;24.7;24.7;23.7;23.7;22.7;24.7;22.7;21.7;22.7;22.7;23.7;
update|animal|9;12;1;36
update|animal|5;27;1;68
update|animal|10;12;1;57
update|animal|11;12;1;25
update|animal|6;27;1;49
update|animal|12;12;1;73
update|animal|7;27;1;18
update|animal|13;12;1;25
update|animal|14;12;1;3
update|animal|8;27;1;83
update|cells|22.8;22.8;21.8;22.8;21.8;22.8;23.8;17.8;17.8;19.8;22.8;22.8;22.8;18.8;18.8;20.8;19.8;19.8;17.8;18.8;17.8;15.8;19.8;21.8;19.8;14.8;20.8;23.8;19.8;20.8;20.8;20.8;22.8;21.8;20.8;21.8;17.8;21.8;24.8;20.8;20.8;19.8;22.8;25.8;22.8;16.8;18.8;24.8;25.8;21.8;22.8;24.8;25.8;25.8;23.8;22.8;20.8;22.8;24.8;23.8;25.8;25.8;24.8;24.8;24.8;21.8;25.8;23.8;22.8;24.8;25.8;25.8;22.8;21.8;23.8;24.8;25.8;23.8;25.8;22.8;24.8;22.8;23.8;19.8;24.8;23.8;24.8;25.8;24.8;24.8;24.8;23.8;23.8;22.8;24.8;22.8;21.8;22.8;22.8;23.8;
update|animal|9;13;1;46
update|animal|5;28;1;57
update|animal|10;13;1;67
update|animal|11;13;1;16
update|animal|6;28;1;59
update|animal|12;13;1;83
update|animal|7;28;1;28
update|animal|13;13;1;15
update|animal|14;13;1;12
update|animal|8;28;1;74
update|cells|22.9;22.9;21.9;22.9;21.9;22.9;23.9;17.9;17.9;19.9;22.9;22.9;21.9;18.9;18.9;19.9;18.9;19.9;17.9;18.9;17.9;15.9;19.9;21.9;19.9;14.9;20.9;23.9;18.9;20.9;20.9;20.9;22.9;21.9;20.9;21.9;17.9;21.9;24.9;20.9;20.9;19.9;22.9;25.9;22.9;16.9;17.9;24.9;25.9;21.9;22.9;24.9;25.9;25.9;23.9;22.9;20.9;21.9;24.9;22.9;25.9;25.9;24.9;24.9;24.9;21.9;25.9;22.9;22.9;24.9;25.9;25.9;22.9;21.9;22.9;24.9;25.9;23.9;25.9;22.9;24.9;22.9;23.9;18.9;24.9;23.9;24.9;25.9;24.9;24.9;24.9;23.9;23.9;22.9;24.9;22.9;21.9;22.9;22.9;23.9;
update|animal|9;14;1;36
update|animal|5;29;1;47
update|animal|10;14;1;78
update|animal|11;14;1;27
update|animal|6;29;1;50
update|animal|12;14;1;73
update|animal|7;29;1;27
update|animal|13;14;1;14
update|animal|14;14;1;23
update|animal|8;29;1;63
